   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     58                                                               
  925.0    747                                                               
  869.0   1289   17.0   12.7     76  10.73    150      6  302.0  334.0  304.0
  866.0   1319   17.4   11.4     68   9.87    150      7  302.7  332.3  304.5
  851.0   1471   17.6    8.6     56   8.30    150     10  304.5  329.7  306.0
  850.0   1481   17.6    8.6     56   8.31    150     10  304.6  329.8  306.1
  843.0   1552   19.0    8.0     49   8.04    144      9  306.8  331.4  308.2
  829.0   1696   18.2    9.2     56   8.88    132      6  307.4  334.6  309.0
  816.2   1829   18.4    5.5     43   6.97    120      3  309.0  330.6  310.3
  816.0   1831   18.4    5.4     42   6.94    119      3  309.0  330.6  310.3
  794.0   2065   17.8    2.8     37   5.93     23      5  310.8  329.5  311.9
  787.6   2134   17.1    3.0     39   6.05    355      5  310.8  329.9  311.9
  759.8   2438   14.2    3.7     49   6.61      5      8  310.8  331.6  312.1
  734.0   2730   11.4    4.4     62   7.19     10     12  310.8  333.4  312.2
  732.9   2743   11.4    4.2     61   7.08     10     12  310.9  333.1  312.3
  723.0   2856   11.0    2.0     54   6.15     11     11  311.7  331.2  312.9
  700.0   3125    8.8    0.8     57   5.83     15     10  312.2  330.7  313.3
  655.9   3658    4.4   -2.7     60   4.80     25     15  313.1  328.5  314.0
  650.0   3732    3.8   -3.2     60   4.67     23     14  313.2  328.3  314.1
  616.0   4166    0.6   -9.4     47   3.06     13     10  314.4  324.5  315.0
  608.2   4267   -0.2   -9.6     49   3.05     10      9  314.6  324.6  315.1
  581.0   4631   -3.3  -10.3     58   3.02     13     11  315.1  325.1  315.7
  578.0   4672   -3.5  -10.5     58   2.99     13     12  315.4  325.3  315.9
  575.0   4713   -3.5  -12.5     50   2.56     14     12  315.8  324.4  316.3
  565.0   4852   -4.1  -16.1     39   1.94     15     13  316.7  323.3  317.1
  563.2   4877   -3.9  -17.9     33   1.68     15     13  317.2  323.0  317.6
  554.0   5007   -2.9  -26.9     14   0.77     14     14  319.9  322.7  320.1
  517.0   5550   -6.1  -29.1     14   0.67      8     20  322.4  324.9  322.6
  501.2   5791   -8.0  -30.0     15   0.63      5     22  323.1  325.4  323.2
  500.0   5810   -8.1  -30.1     15   0.63      5     22  323.1  325.5  323.2
  481.8   6096  -10.4  -31.3     16   0.59      5     17  323.7  325.9  323.8
  469.0   6303  -12.1  -32.1     17   0.56      2     16  324.1  326.2  324.2
  455.0   6535  -13.3  -38.3     10   0.31    358     14  325.4  326.6  325.5
  447.0   6670  -14.5  -33.5     18   0.51    356     13  325.6  327.5  325.7
  444.8   6706  -14.8  -33.7     18   0.50    355     13  325.6  327.5  325.7
  415.0   7227  -19.3  -36.3     21   0.42      5     12  326.4  328.0  326.4
  400.0   7500  -21.5  -41.5     15   0.25     10     11  327.0  328.0  327.0
  393.4   7620  -22.5  -42.8     14   0.22      5     12  327.2  328.1  327.2
  361.6   8230  -27.7  -49.6     10   0.11     10     13  328.2  328.7  328.3
  342.0   8634  -31.1  -54.1      9   0.07    350     14  328.9  329.2  328.9
  332.1   8839  -32.7  -55.0      9   0.07    340     14  329.4  329.7  329.4
  317.9   9144  -35.1  -56.4     10   0.06      0     19  330.2  330.5  330.3
  304.4   9449  -37.5  -57.8     10   0.05     10     17  331.0  331.2  331.0
  300.0   9550  -38.3  -58.3     10   0.05     10     17  331.3  331.5  331.3
  291.2   9754  -40.2  -59.4     11   0.04      0     14  331.4  331.6  331.4
  289.0   9806  -40.7  -59.7     11   0.04    354     14  331.4  331.6  331.4
  278.4  10058  -42.6  -61.0     11   0.04    325     12  332.3  332.5  332.3
  266.0  10363  -44.8  -62.7     12   0.03    355     13  333.3  333.5  333.3
  254.2  10668  -47.1  -64.3     12   0.03      5     12  334.4  334.5  334.4
  250.0  10780  -47.9  -64.9     12   0.02      5     10  334.7  334.8  334.7
  247.0  10859  -48.5  -64.5     14   0.03    356     10  335.0  335.1  335.0
  231.6  11278  -50.9  -66.9     13   0.02    305     10  337.5  337.6  337.5
  227.0  11409  -51.7  -67.7     13   0.02    311     10  338.3  338.4  338.3
  220.9  11582  -52.5  -68.5     13   0.02    320     11  339.6  339.7  339.6
  210.7  11887  -54.0  -70.0     12   0.01    300     13  341.9  342.0  341.9
  201.0  12188  -55.5  -71.5     12   0.01    295     12  344.2  344.3  344.2
  200.0  12220  -55.5  -71.5     12   0.01    295     12  344.7  344.8  344.7
  191.5  12497  -55.1  -72.1     10   0.01    300     11  349.6  349.7  349.6
  191.0  12514  -55.1  -72.1     10   0.01    299     12  349.9  350.0  349.9
  186.0  12684  -55.7  -73.7      9   0.01    288     17  351.6  351.7  351.6
  182.6  12802  -55.2  -73.8      8   0.01    280     20  354.4  354.4  354.4
  176.0  13037  -54.1  -74.1      7   0.01    280     17  359.8  359.9  359.8
  174.1  13106  -54.5  -75.1      6   0.01    280     16  360.3  360.4  360.3
  170.0  13260  -55.3  -77.3      5   0.01    277     17  361.4  361.5  361.4
  166.0  13412  -54.3  -77.3      4   0.01    275     18  365.6  365.6  365.6
  166.0  13411  -54.3  -77.3      4   0.01    275     18  365.5  365.6  365.5
  162.0  13569  -54.5  -78.5      4   0.01    273     19  367.8  367.8  367.8
  157.0  13769  -55.7  -80.7      3   0.00    269     20  369.1  369.1  369.1
  152.0  13976  -55.5  -81.5      3   0.00    266     21  372.8  372.9  372.8
  150.0  14060  -56.1  -82.1      2   0.00    265     22  373.2  373.2  373.2
  137.0  14630  -58.4  -84.4      2   0.00    255     23  379.0  379.0  379.0
  131.0  14912  -59.5  -85.5      2   0.00    260     25  381.9  381.9  381.9
  128.0  15057  -59.1  -85.1      2   0.00    262     26  385.1  385.1  385.1
  124.3  15240  -60.0  -85.6      2   0.00    265     28  386.8  386.8  386.8
  118.3  15545  -61.5  -86.5      2   0.00    270     31  389.5  389.5  389.5
  110.0  15995  -63.7  -87.7      3   0.00    290     20  393.5  393.5  393.5
  100.0  16580  -62.7  -87.7      2   0.00    240     12  406.3  406.3  406.3
   84.9  17586  -64.9  -88.9      2   0.00    211      7  421.3  421.3  421.3
   77.2  18172  -61.5  -87.5      2   0.00    193      5  440.0  440.0  440.0
   75.8  18288  -62.1  -88.1      2   0.00    190      4  441.1  441.1  441.1
   75.3  18326  -62.3  -88.3      2   0.00    200      4  441.5  441.5  441.5
   70.5  18736  -60.7  -87.7      2   0.00    308      8  453.3  453.3  453.3
   70.0  18780  -60.7  -87.7      2   0.00    320      8  454.2  454.2  454.2
   61.0  19629  -63.5  -89.5      2   0.00      9     10  466.2  466.2  466.2
   57.6  19984  -60.1  -88.1      1   0.00     30     11  481.6  481.6  481.6
   53.5  20446  -58.3  -87.3      1   0.00     56     13  496.0  496.0  496.0
   50.0  20870  -59.3  -88.3      1   0.00     80     14  503.3  503.3  503.3
   48.1  21112  -59.5  -88.5      1   0.00     51      9  508.4  508.5  508.4
   46.9  21271  -57.7  -87.7      1   0.00     33      5  516.4  516.5  516.4
   46.4  21336  -57.7  -87.6      1   0.00     25      4  518.0  518.0  518.0
   43.6  21731  -57.7  -86.7      1   0.00     64     14  527.3  527.4  527.3
   42.1  21946  -56.6  -86.8      1   0.01     85     20  535.2  535.3  535.2
   41.3  22074  -55.9  -86.9      1   0.01     87     20  540.0  540.0  540.0
   38.3  22555  -55.7  -87.0      1   0.01     95     20  552.2  552.3  552.2
   36.5  22860  -55.6  -87.1      1   0.01    120     15  560.1  560.2  560.1
   34.8  23165  -55.5  -87.2      1   0.01     85     12  568.1  568.2  568.1
   33.2  23470  -55.4  -87.2      1   0.01     55     11  576.3  576.3  576.3
   31.8  23738  -55.3  -87.3      1   0.01     77     14  583.5  583.5  583.5
   30.1  24079  -54.6  -87.5      1   0.01    105     17  594.5  594.5  594.5
   30.0  24110  -54.5  -87.5      1   0.01    105     17  595.5  595.5  595.5
   28.8  24384  -53.3  -86.7      1   0.01     80     14  605.9  606.0  605.9
   27.4  24689  -52.1  -85.7      1   0.01     90     15  617.7  617.8  617.7
   26.2  24994  -50.8  -84.8      1   0.01     75     16  629.7  629.8  629.7
   26.1  25011  -50.7  -84.7      1   0.01     75     16  630.4  630.5  630.4
   24.7  25370  -51.5  -84.5      1   0.01     77     17  638.1  638.2  638.1
   22.8  25908  -50.5  -84.1      1   0.01     80     19  656.4  656.6  656.4
